phase,fixed_role,fixed_value,nSeller,nBuyer,mode,proof_size_bytes,pk_size_bytes,vk_size_bytes,prove_time_ms_avg,verify_time_ms_avg
stage1,buyer,10,5,10,balanced,805,16731022,2739,1027.108,292.667
stage1,buyer,10,10,10,balanced,804,20799223,2740,1134.894,295.038
stage1,buyer,10,15,10,balanced,807,24867423,2739,1227.539,293.322
stage1,buyer,10,20,10,balanced,807,33129927,2740,1643.392,299.575
stage1,buyer,10,25,10,balanced,807,37198127,2736,1719.529,292.711
stage1,buyer,10,30,10,balanced,804,41266327,2738,1824.240,296.731
stage1,buyer,20,5,20,balanced,806,24867422,2739,1234.903,294.561
stage1,buyer,20,10,20,balanced,806,33129927,2739,1640.361,303.413
stage1,buyer,20,15,20,balanced,806,37198127,2739,1711.982,292.976
stage1,buyer,20,20,20,balanced,807,41266327,2736,1834.743,296.265
stage1,buyer,20,25,20,balanced,806,45334527,2741,1931.719,302.718
stage1,buyer,20,30,20,balanced,803,49402727,2741,2014.798,291.455
stage1,buyer,30,5,30,balanced,805,37198126,2739,1717.499,291.991
stage1,buyer,30,10,30,balanced,806,41266327,2741,1819.014,296.296
stage1,buyer,30,15,30,balanced,806,45334527,2737,1936.161,304.049
stage1,buyer,30,20,30,balanced,805,49402727,2738,2000.406,290.666
stage1,buyer,30,25,30,balanced,806,53470927,2737,2092.590,291.755
stage1,buyer,30,30,30,balanced,803,65927735,2740,2849.971,289.973
stage2,seller,10,10,5,balanced,804,16731022,2738,1038.401,292.298
stage2,seller,10,10,10,balanced,803,20799223,2738,1139.275,295.262
stage2,seller,10,10,15,balanced,803,24867423,2739,1229.503,293.891
stage2,seller,10,10,20,balanced,804,33129927,2738,1641.812,299.610
stage2,seller,10,10,25,balanced,803,37198127,2739,1721.546,291.694
stage2,seller,10,10,30,balanced,806,41266327,2739,1839.798,296.849
stage2,seller,20,20,5,balanced,804,24867422,2738,1230.921,293.516
stage2,seller,20,20,10,balanced,804,33129927,2738,1646.760,300.823
stage2,seller,20,20,15,balanced,805,37198127,2741,1720.336,291.751
stage2,seller,20,20,20,balanced,803,41266327,2739,1825.228,295.566
stage2,seller,20,20,25,balanced,806,45334527,2737,1937.114,303.348
stage2,seller,20,20,30,balanced,802,49402727,2738,2029.113,290.946
stage2,seller,30,30,5,balanced,807,37198126,2738,1723.358,294.006
stage2,seller,30,30,10,balanced,806,41266327,2737,1827.420,297.061
stage2,seller,30,30,15,balanced,806,45334527,2741,1940.822,303.091
stage2,seller,30,30,20,balanced,802,49402727,2741,2017.875,291.183
stage2,seller,30,30,25,balanced,805,53470927,2736,2096.447,293.743
stage2,seller,30,30,30,balanced,807,65927735,2740,2858.485,291.602
